排名,电影名称,评分,经典台词/短评
1,肖申克的救赎,9.7,无短评
2,霸王别姬,9.6,无短评
3,泰坦尼克号,9.5,无短评
4,阿甘正传,9.5,无短评
5,千与千寻,9.4,无短评
6,星际穿越,9.4,无短评
7,美丽人生,9.5,无短评
8,这个杀手不太冷,9.4,无短评
9,盗梦空间,9.4,无短评
10,楚门的世界,9.4,无短评
11,辛德勒的名单,9.5,无短评
12,忠犬八公的故事,9.4,无短评
13,海上钢琴师,9.3,无短评
14,疯狂动物城,9.3,无短评
15,三傻大闹宝莱坞,9.2,无短评
16,机器人总动员,9.3,无短评
17,放牛班的春天,9.3,无短评
18,无间道,9.3,无短评
19,控方证人,9.6,无短评
20,寻梦环游记,9.1,无短评
21,大话西游之大圣娶亲,9.2,无短评
22,熔炉,9.3,无短评
23,触不可及,9.3,无短评
24,教父,9.3,无短评
25,哈利·波特与魔法石,9.2,无短评
26,末代皇帝,9.3,无短评
27,当幸福来敲门,9.1,无短评
28,龙猫,9.2,无短评
29,活着,9.3,无短评
30,怦然心动,9.1,无短评
31,蝙蝠侠：黑暗骑士,9.2,无短评
32,指环王3：王者无敌,9.3,无短评
33,我不是药神,9.0,无短评
34,乱世佳人,9.3,无短评
35,让子弹飞,9.0,无短评
36,飞屋环游记,9.1,无短评
37,哈尔的移动城堡,9.1,无短评
38,十二怒汉,9.4,无短评
39,海蒂和爷爷,9.3,无短评
40,素媛,9.3,无短评
41,猫鼠游戏,9.1,无短评
42,天空之城,9.2,无短评
43,鬼子来了,9.3,无短评
44,摔跤吧！爸爸,9.0,无短评
45,少年派的奇幻漂流,9.1,无短评
46,死亡诗社,9.2,无短评
47,钢琴家,9.3,无短评
48,指环王2：双塔奇兵,9.2,无短评
49,大话西游之月光宝盒,9.0,无短评
50,绿皮书,8.9,无短评
51,何以为家,9.1,无短评
52,闻香识女人,9.1,无短评
53,大闹天宫,9.4,无短评
54,黑客帝国,9.1,无短评
55,指环王1：护戒使者,9.1,无短评
56,罗马假日,9.1,无短评
57,教父2,9.3,无短评
58,狮子王,9.1,无短评
59,天堂电影院,9.2,无短评
60,饮食男女,9.2,无短评
61,辩护人,9.2,无短评
62,本杰明·巴顿奇事,9.0,无短评
63,搏击俱乐部,9.0,无短评
64,美丽心灵,9.1,无短评
65,穿条纹睡衣的男孩,9.2,无短评
66,哈利·波特与死亡圣器(下),9.0,无短评
67,功夫,8.9,无短评
68,两杆大烟枪,9.1,无短评
69,情书,8.9,无短评
70,音乐之声,9.1,无短评
71,窃听风暴,9.2,无短评
72,哈利·波特与阿兹卡班的囚徒,9.0,无短评
73,阿凡达,8.8,无短评
74,西西里的美丽传说,8.9,无短评
75,看不见的客人,8.8,无短评
76,拯救大兵瑞恩,9.1,无短评
77,沉默的羔羊,8.9,无短评
78,小鞋子,9.2,无短评
79,蝴蝶效应,8.9,无短评
80,还有明天,9.3,无短评
81,布达佩斯大饭店,8.9,无短评
82,飞越疯人院,9.1,无短评
83,禁闭岛,8.9,无短评
84,心灵捕手,9.0,无短评
85,致命魔术,8.9,无短评
86,低俗小说,8.9,无短评
87,哈利·波特与密室,8.9,无短评
88,一一,9.1,无短评
89,超脱,9.0,无短评
90,喜剧之王,8.8,无短评
91,致命ID,8.9,无短评
92,杀人回忆,8.9,无短评
93,摩登时代,9.3,无短评
94,加勒比海盗,8.9,无短评
95,春光乍泄,9.0,无短评
96,海豚湾,9.3,无短评
97,美国往事,9.1,无短评
98,七宗罪,8.8,无短评
99,红辣椒,9.0,无短评
100,唐伯虎点秋香,8.8,无短评
101,狩猎,9.1,无短评
102,幽灵公主,8.9,无短评
103,寄生虫,8.8,无短评
104,甜蜜蜜,8.9,无短评
105,蝙蝠侠：黑暗骑士崛起,8.9,无短评
106,天书奇谭,9.2,无短评
107,超能陆战队,8.8,无短评
108,茶馆,9.5,无短评
109,第六感,8.9,无短评
110,7号房的礼物,8.9,无短评
111,爱在日落黄昏时,8.9,无短评
112,爱在黎明破晓前,8.8,无短评
113,头脑特工队,8.9,无短评
114,哈利·波特与火焰杯,8.8,无短评
115,未麻的部屋,9.1,无短评
116,被嫌弃的松子的一生,8.8,无短评
117,重庆森林,8.8,无短评
118,借东西的小人阿莉埃蒂,8.9,无短评
119,菊次郎的夏天,8.9,无短评
120,入殓师,8.9,无短评
121,断背山,8.8,无短评
122,剪刀手爱德华,8.7,无短评
123,勇敢的心,8.9,无短评
124,时空恋旅人,8.8,无短评
125,玩具总动员3,8.9,无短评
